蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,113/04/01 ~ 113/04/30 (農曆:113/02/23 ~ 113/03/22),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
113/04/02,104 台北二,FA1 黃秋葵  ,118.8 ,71.9 ,34.2 ,73.8 , +  9,630 , + 26,46494
113/04/02,104 台北二,FB11 花椰菜 青梗 留梗柄,38.7 ,24.0 ,7.6 ,23.6 , +  6,"10,158 ", + 63,239728.8
113/04/02,104 台北二,FC1 胡瓜 黑刺 ,25.3 ,14.8 ,6.3 ,15.2 , +  1,"8,921 ", +  2,135599.2
113/04/02,104 台北二,FD0 花胡瓜 其他 ,77.5 ,31.1 ,23.8 ,38.9 , + 23,841 , +121,32714.9
113/04/02,104 台北二,FD1 花胡瓜  ,33.3 ,19.3 ,10.9 ,20.4 , +  5,"18,164 ", + 75,370545.6
113/04/02,104 台北二,FE1 冬瓜 白皮 ,18.8 ,14.1 ,8.5 ,13.9 , + 54,"2,155 ", - 12,29954.5
113/04/02,104 台北二,FF0 絲瓜 其他 ,41.8 ,25.0 ,16.2 ,26.6 , +  8,328 , +188,8724.8
113/04/02,104 台北二,FF1 絲瓜  ,26.7 ,15.9 ,7.4 ,16.3 , - 11,"19,854 ", + 32,323620.2
113/04/02,104 台北二,FF2 絲瓜 角瓜 ,75.0 ,52.4 ,20.0 ,50.4 , - 16,61 , +205,3074.4
113/04/02,104 台北二,FG0 苦瓜 其他 ,43.3 ,33.2 ,21.6 ,32.9 , +  8,"2,259 ", -  7,74321.1
113/04/02,104 台北二,FG1 苦瓜 白大米 ,68.5 ,49.4 ,32.0 ,49.7 , -  2,"4,842 ", + 46,240647.4
113/04/02,104 台北二,FG4 苦瓜 翠綠 ,59.4 ,47.5 ,24.9 ,45.4 , - 30,319 , +369,14482.6
