蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,114/02/01 ~ 114/02/28 (農曆:114/01/04 ~ 114/02/01),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
114/02/03,104 台北二,FA0 其他花類  ,110.0 ,110.0 ,110.0 ,110.0 ,    0,5 , - 86,550
114/02/03,104 台北二,FB0 花椰菜 其他 ,20.0 ,17.7 ,15.0 ,17.6 , + 17,92 , - 23,1619.2
114/02/03,104 台北二,FB1 花椰菜 青梗 ,34.8 ,18.6 ,5.6 ,19.3 , - 16,"13,315 ", +114,256979.5
114/02/03,104 台北二,FC1 胡瓜 黑刺 ,21.2 ,12.5 ,6.2 ,13.0 , + 55,"8,212 ", +374,106756
114/02/03,104 台北二,FD0 花胡瓜 其他 ,54.5 ,31.0 ,11.1 ,31.7 , - 29,"1,373 ", +153,43524.1
114/02/03,104 台北二,FD1 花胡瓜  ,25.0 ,13.7 ,6.0 ,14.4 , -  8,"21,164 ", +121,304761.6
114/02/03,104 台北二,FE1 冬瓜 白皮 ,32.4 ,25.1 ,24.5 ,26.4 ,  -  ,"1,922 ",  -  ,50740.8
114/02/03,104 台北二,FF0 絲瓜 其他 ,20.0 ,14.6 ,5.0 ,13.8 , + 97,72 , +140,993.6
114/02/03,104 台北二,FF1 絲瓜  ,26.4 ,13.2 ,5.4 ,14.3 , - 25,"7,115 ", +993,101744.5
114/02/03,104 台北二,FF2 絲瓜 角瓜 ,95.0 ,70.6 ,10.0 ,63.3 , +192,60 , - 27,3798
114/02/03,104 台北二,FG0 苦瓜 其他 ,114.3 ,92.0 ,68.3 ,91.7 , +311,479 , +185,43924.3
114/02/03,104 台北二,FG1 苦瓜 白大米 ,127.1 ,93.1 ,51.7 ,91.6 , + 39,"1,513 ", +547,138590.8
114/02/03,104 台北二,FG4 苦瓜 翠綠 ,100.0 ,75.4 ,51.4 ,75.5 ,  -  ,47 ,  -  ,3548.5
114/02/03,104 台北二,FH3 扁蒲 花蒲 ,12.6 ,4.6 ,4.0 ,6.1 , + 52,"1,115 ", +999,6801.5
114/02/03,104 台北二,FH4 扁蒲 梨子蒲 ,9.0 ,5.2 ,4.0 ,5.7 , + 43,996 , +896,5677.2
