蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,113/02/01 ~ 113/02/29 (農曆:112/12/22 ~ 113/01/20),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
113/02/02,104 台北二,FA1 黃秋葵  ,172.7 ,61.4 ,26.2 ,76.6 , - 14,177 , + 95,13558.2
113/02/02,104 台北二,FB0 花椰菜 其他 ,40.0 ,34.6 ,10.0 ,30.8 , +208,52 , + 44,1601.6
113/02/02,104 台北二,FB11 花椰菜 青梗 留梗柄,32.4 ,19.7 ,9.9 ,20.3 , - 11,"19,634 ", + 28,398570.2
113/02/02,104 台北二,FC1 胡瓜 黑刺 ,28.2 ,20.2 ,12.4 ,20.3 , - 25,"7,606 ", + 64,154401.8
113/02/02,104 台北二,FD0 花胡瓜 其他 ,78.9 ,43.9 ,36.1 ,49.3 , - 19,435 , +130,21445.5
113/02/02,104 台北二,FD1 花胡瓜  ,41.4 ,30.3 ,17.9 ,30.0 , +  1,"14,936 ", + 24,448080
113/02/02,104 台北二,FE0 冬瓜 其他 ,12.0 ,12.0 ,12.0 ,12.0 , - 38,20 , - 75,240
113/02/02,104 台北二,FE1 冬瓜 白皮 ,31.9 ,23.3 ,12.0 ,22.7 , -  6,580 , - 75,13166
113/02/02,104 台北二,FF0 絲瓜 其他 ,20.0 ,20.0 ,20.0 ,20.0 ,  -  ,12 ,  -  ,240
113/02/02,104 台北二,FF1 絲瓜  ,36.5 ,28.4 ,19.8 ,28.3 , - 10,"5,541 ", + 63,156810.3
113/02/02,104 台北二,FF2 絲瓜 角瓜 ,28.0 ,22.2 ,15.8 ,22.1 , -  2,153 , + 35,3381.3
113/02/02,104 台北二,FG0 苦瓜 其他 ,77.4 ,50.1 ,33.6 ,52.3 , - 21,"1,433 ", +292,74945.9
113/02/02,104 台北二,FG1 苦瓜 白大米 ,83.0 ,46.0 ,26.8 ,49.5 , - 23,"4,616 ", + 41,228492
113/02/02,104 台北二,FG4 苦瓜 翠綠 ,80.0 ,80.0 ,80.0 ,80.0 , +  6,80 , - 23,6400
113/02/02,104 台北二,FH1 扁蒲 長形 ,8.0 ,7.8 ,7.0 ,7.7 , -  4,198 , + 48,1524.6
113/02/02,104 台北二,FH3 扁蒲 花蒲 ,12.5 ,10.3 ,7.7 ,10.2 , - 43,595 , + 97,6069
113/02/02,104 台北二,FH4 扁蒲 梨子蒲 ,32.0 ,17.3 ,7.0 ,18.2 , - 11,660 , + 94,12012
113/02/02,104 台北二,FI0 茄子 其他 ,52.8 ,38.5 ,26.0 ,38.8 , + 45,117 , -  9,4539.6
113/02/02,104 台北二,FI1 茄子 胭脂茄 ,55.8 ,54.6 ,45.6 ,53.1 , -  3,266 , +177,14124.6
113/02/02,104 台北二,FI2 茄子 麻荸茄 ,59.4 ,39.8 ,27.0 ,41.1 , +  1,"5,413 ", + 26,222474.3
113/02/02,104 台北二,FI3 茄子 日本種 ,37.1 ,21.6 ,15.0 ,23.4 , -  2,374 , + 59,8751.6
113/02/02,104 台北二,FJ1 番茄 黑柿 ,23.2 ,13.3 ,6.2 ,13.8 , - 22,"5,024 ", +  1,69331.2
113/02/02,104 台北二,FJ3 番茄 牛番茄 ,21.1 ,11.4 ,4.9 ,12.1 , - 14,"27,812 ", - 11,336525.2
113/02/02,104 台北二,FK3 甜椒 新香 ,25.0 ,22.7 ,11.5 ,20.9 , + 65,115 , - 63,2403.5
113/02/02,104 台北二,FK4 甜椒 彩色種 ,79.2 ,61.4 ,32.6 ,59.2 , +  6,"3,786 ", + 14,224131.2
113/02/02,104 台北二,FK5 甜椒 青椒 ,26.7 ,17.1 ,6.9 ,17.0 , +  6,"3,905 ", - 15,66385
113/02/02,104 台北二,FK6 甜椒 水果彩椒 ,132.1 ,82.4 ,41.9 ,84.2 , - 11,570 , + 50,47994
113/02/02,104 台北二,FL1 豌豆 白花 ,79.7 ,58.4 ,42.1 ,59.4 , - 20,256 , + 20,15206.4
