蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,113/08/01 ~ 113/08/31 (農曆:113/06/27 ~ 113/07/28),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
113/08/01,104 台北二,FA1 黃秋葵  ,177.6 ,143.4 ,89.6 ,139.5 , + 37,48 , - 70,6696
113/08/01,104 台北二,FB1 花椰菜 青梗 ,135.0 ,90.0 ,15.0 ,84.0 , - 13,100 , - 29,8400
113/08/01,104 台北二,FC1 胡瓜 黑刺 ,67.6 ,45.4 ,23.1 ,45.4 , + 34,"2,201 ", - 63,99925.4
113/08/01,104 台北二,FD0 花胡瓜 其他 ,176.2 ,98.6 ,65.0 ,107.4 , + 21,222 , - 20,23842.8
113/08/01,104 台北二,FD1 花胡瓜  ,139.8 ,107.2 ,48.7 ,102.0 , + 41,"5,320 ", - 10,542640
113/08/01,104 台北二,FE0 冬瓜 其他 ,15.0 ,15.0 ,15.0 ,15.0 ,    0,19 , - 14,285
113/08/01,104 台北二,FE1 冬瓜 白皮 ,20.8 ,15.7 ,10.4 ,15.7 , -  9,"2,805 ", - 44,44038.5
113/08/01,104 台北二,FF0 絲瓜 其他 ,50.8 ,38.6 ,19.7 ,37.3 , + 15,619 , - 46,23088.7
113/08/01,104 台北二,FF1 絲瓜  ,60.0 ,33.0 ,19.4 ,35.7 , -  0,"6,096 ", - 13,217627.2
113/08/01,104 台北二,FF2 絲瓜 角瓜 ,33.9 ,21.4 ,16.0 ,22.8 , - 12,139 , - 29,3169.2
113/08/01,104 台北二,FF4 絲瓜 長絲瓜 ,37.8 ,35.4 ,34.0 ,35.6 , + 13,110 , - 37,3916
113/08/01,104 台北二,FG0 苦瓜 其他 ,96.1 ,66.5 ,32.1 ,65.5 , +  5,548 , - 14,35894
113/08/01,104 台北二,FG1 苦瓜 白大米 ,120.7 ,80.3 ,32.7 ,78.9 , - 14,"1,725 ", + 35,136102.5
113/08/01,104 台北二,FG3 苦瓜 山苦瓜 ,60.0 ,49.0 ,45.0 ,50.4 , - 11,49 , + 11,2469.6
113/08/01,104 台北二,FG4 苦瓜 翠綠 ,68.9 ,38.0 ,22.7 ,41.1 , -  0,220 , + 57,9042
113/08/01,104 台北二,FH3 扁蒲 花蒲 ,38.7 ,26.9 ,12.7 ,26.4 , -  1,"1,608 ", - 24,42451.2
113/08/01,104 台北二,FH4 扁蒲 梨子蒲 ,42.6 ,25.7 ,13.3 ,26.6 , - 25,"1,800 ", + 45,47880
113/08/01,104 台北二,FI0 茄子 其他 ,75.0 ,57.7 ,20.0 ,53.6 , + 93,66 , - 31,3537.6
113/08/01,104 台北二,FI2 茄子 麻荸茄 ,51.4 ,33.6 ,17.8 ,34.0 , - 12,"6,073 ", +  7,206482
113/08/01,104 台北二,FI3 茄子 日本種 ,25.0 ,13.9 ,10.0 ,15.3 , - 49,79 , + 23,1208.7
113/08/01,104 台北二,FJ1 番茄 黑柿 ,65.0 ,51.9 ,30.0 ,50.1 , + 34,41 , - 82,2054.1
113/08/01,104 台北二,FJ3 番茄 牛番茄 ,124.4 ,69.8 ,21.4 ,71.0 , +  1,"5,931 ", - 37,421101
113/08/01,104 台北二,FK4 甜椒 彩色種 ,147.6 ,122.4 ,63.6 ,115.7 , + 26,"1,470 ", - 45,170079
113/08/01,104 台北二,FK5 甜椒 青椒 ,55.8 ,40.6 ,17.3 ,38.9 , +  6,"3,141 ", - 13,122184.9
113/08/01,104 台北二,FK6 甜椒 水果彩椒 ,153.0 ,106.5 ,59.5 ,106.4 , -  8,428 , - 38,45539.2
113/08/01,104 台北二,FL9 豌豆 進口 ,154.4 ,108.2 ,50.0 ,105.8 , - 22,640 , - 22,67712
113/08/01,104 台北二,FM2 菜豆 青色 ,133.4 ,64.3 ,38.4 ,73.0 , + 14,675 , -  5,49275
113/08/01,104 台北二,FN1 敏豆 白豆 ,337.8 ,113.9 ,32.8 ,142.4 , +  0,781 , +  6,111214.4
113/08/01,104 台北二,FN4 敏豆 翼豆 ,120.0 ,115.6 ,110.0 ,115.4 , -  9,13 , +  8,1500.2
113/08/01,104 台北二,FN5 敏豆 醜豆 ,154.7 ,137.0 ,57.0 ,124.6 , +  6,212 , + 41,26415.2
