蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,114/01/01 ~ 114/01/31 (農曆:113/12/02 ~ 114/01/03),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
114/01/01,104 台北二,FA0 其他花類  ,110.0 ,110.0 ,110.0 ,110.0 ,    0,30 , + 50,3300
114/01/01,104 台北二,FA1 黃秋葵  ,287.1 ,103.3 ,36.5 ,126.7 , + 32,85 , - 26,10769.5
114/01/01,104 台北二,FB0 花椰菜 其他 ,69.0 ,50.7 ,39.0 ,52.0 , -  4,221 , + 32,11492
114/01/01,104 台北二,FB1 花椰菜 青梗 ,61.4 ,42.6 ,23.6 ,42.6 , +  2,"6,750 ", - 35,287550
114/01/01,104 台北二,FC1 胡瓜 黑刺 ,41.5 ,28.3 ,18.1 ,28.9 , - 20,"3,998 ", - 40,115542.2
114/01/01,104 台北二,FD0 花胡瓜 其他 ,69.8 ,58.6 ,33.4 ,55.8 , +  4,568 , - 48,31694.4
114/01/01,104 台北二,FD1 花胡瓜  ,41.9 ,35.6 ,26.2 ,35.0 , -  1,"9,895 ", - 25,346325
114/01/01,104 台北二,FE0 冬瓜 其他 ,15.0 ,15.0 ,15.0 ,15.0 , - 44,51 , + 34,765
114/01/01,104 台北二,FE1 冬瓜 白皮 ,27.2 ,20.8 ,12.4 ,20.4 , - 42,369 , - 87,7527.6
114/01/01,104 台北二,FE9 冬瓜 進口 ,30.0 ,30.0 ,30.0 ,30.0 , -  4,420 , - 18,12600
114/01/01,104 台北二,FF0 絲瓜 其他 ,30.0 ,30.0 ,30.0 ,30.0 , -  1,105 , - 22,3150
114/01/01,104 台北二,FF1 絲瓜  ,38.6 ,28.3 ,16.9 ,28.1 , -  9,"4,444 ", - 26,124876.4
114/01/01,104 台北二,FF2 絲瓜 角瓜 ,145.0 ,145.0 ,145.0 ,145.0 , + 38,20 ,    0,2900
114/01/01,104 台北二,FG0 苦瓜 其他 ,92.5 ,73.9 ,67.8 ,76.4 ,    0,564 , - 36,43089.6
114/01/01,104 台北二,FG1 苦瓜 白大米 ,108.1 ,65.1 ,36.8 ,68.0 , +  8,"1,919 ", - 40,130492
114/01/01,104 台北二,FG3 苦瓜 山苦瓜 ,62.0 ,62.0 ,62.0 ,62.0 , +  1,14 , - 72,868
114/01/01,104 台北二,FG4 苦瓜 翠綠 ,82.0 ,47.0 ,40.2 ,52.6 , - 36,289 , + 61,15201.4
114/01/01,104 台北二,FH2 扁蒲 圓形 ,15.0 ,15.0 ,15.0 ,15.0 ,  -  ,20 ,  -  ,300
114/01/01,104 台北二,FH3 扁蒲 花蒲 ,29.1 ,16.3 ,10.0 ,17.6 , - 33,671 , - 36,11809.6
114/01/01,104 台北二,FH4 扁蒲 梨子蒲 ,39.5 ,30.3 ,25.0 ,31.1 , -  5,474 , - 29,14741.4
114/01/01,104 台北二,FI0 茄子 其他 ,65.0 ,62.0 ,52.8 ,60.8 , +  9,90 , - 24,5472
114/01/01,104 台北二,FI2 茄子 麻荸茄 ,72.4 ,39.4 ,26.2 ,43.4 , +  1,"3,463 ", - 29,150294.2
114/01/01,104 台北二,FI3 茄子 日本種 ,35.0 ,28.2 ,22.3 ,28.4 , - 12,94 , - 48,2669.6
114/01/01,104 台北二,FJ1 番茄 黑柿 ,90.5 ,81.0 ,51.3 ,77.0 , -  2,547 , - 35,42119
114/01/01,104 台北二,FJ3 番茄 牛番茄 ,119.3 ,81.2 ,49.5 ,82.5 , - 22,"12,100 ", + 39,998250
114/01/01,104 台北二,FK3 甜椒 新香 ,50.0 ,50.0 ,50.0 ,50.0 , - 16,12 , - 85,600
114/01/01,104 台北二,FK4 甜椒 彩色種 ,121.2 ,79.5 ,27.8 ,77.5 , - 17,"1,451 ", - 21,112452.5
114/01/01,104 台北二,FK5 甜椒 青椒 ,88.9 ,57.6 ,33.2 ,59.0 , - 27,"2,424 ", - 23,143016
114/01/01,104 台北二,FK6 甜椒 水果彩椒 ,196.3 ,131.8 ,56.0 ,129.6 , -  1,375 , + 11,48600
114/01/01,104 台北二,FK9 甜椒 進口 ,120.0 ,120.0 ,120.0 ,120.0 , -  8,50 , - 82,6000
114/01/01,104 台北二,FL1 豌豆 白花 ,70.0 ,63.7 ,30.0 ,58.2 , - 32,17 ,    0,989.4
114/01/01,104 台北二,FL2 豌豆 紅花 ,170.0 ,170.0 ,131.5 ,162.3 , + 17,137 , - 43,22235.1
114/01/01,104 台北二,FL5 豌豆 豌豆苗 ,177.5 ,119.9 ,54.7 ,118.4 , - 14,659 , +  0,78025.6
114/01/01,104 台北二,FL6 豌豆 甜豌豆 ,143.9 ,112.4 ,87.7 ,113.8 , -  8,597 , - 19,67938.6
114/01/01,104 台北二,FL9 豌豆 進口 ,160.0 ,160.0 ,160.0 ,160.0 , +  3,20 , - 89,3200
114/01/01,104 台北二,FM2 菜豆 青色 ,132.7 ,107.3 ,104.0 ,111.7 , + 20,71 , - 44,7930.7
114/01/01,104 台北二,FN1 敏豆 白豆 ,119.4 ,100.0 ,47.2 ,93.3 , -  4,"2,692 ", - 19,251163.6
114/01/01,104 台北二,FN4 敏豆 翼豆 ,80.0 ,80.0 ,80.0 ,80.0 ,    0,27 , - 50,2160
114/01/01,104 台北二,FN5 敏豆 醜豆 ,87.9 ,67.9 ,35.7 ,65.5 , -  8,"1,289 ", - 15,84429.5
114/01/01,104 台北二,FP1 萊豆 豆莢 ,140.0 ,134.0 ,120.4 ,132.5 , - 12,196 , - 22,25970
114/01/01,104 台北二,FP2 萊豆 豆仁 ,190.0 ,190.0 ,190.0 ,190.0 , -  5,7 , +133,1330
114/01/01,104 台北二,FP3 鵲豆 肉豆 ,80.0 ,80.0 ,80.0 ,80.0 , + 33,6 , - 25,480
114/01/01,104 台北二,FQ1 毛豆 豆莢 ,80.0 ,57.8 ,30.9 ,56.9 , +  8,350 , + 23,19915
114/01/01,104 台北二,FQ2 毛豆 豆仁 ,199.3 ,149.3 ,124.0 ,154.2 , -  6,502 , + 11,77408.4
114/01/01,104 台北二,FR1 青花苔  ,57.3 ,36.4 ,24.3 ,38.2 , -  5,"8,714 ", - 47,332874.8
114/01/01,104 台北二,FR2 青花苔 青花筍 ,105.2 ,61.6 ,31.2 ,64.3 , - 30,272 , - 28,17489.6
114/01/01,104 台北二,FR9 青花苔 進口 ,53.6 ,47.9 ,41.0 ,47.7 , - 15,"3,121 ", + 69,148871.7
114/01/01,104 台北二,FS2 越瓜 白色 ,40.0 ,40.0 ,40.0 ,40.0 ,    0,20 ,    0,800
114/01/01,104 台北二,FT1 南瓜 木瓜形 ,51.7 ,36.1 ,21.0 ,36.2 , -  9,"4,227 ", +  2,153017.4
114/01/01,104 台北二,FT2 南瓜 圓形 ,43.8 ,37.8 ,26.4 ,36.7 , - 10,"1,195 ", - 16,43856.5
114/01/01,104 台北二,FT3 南瓜 黃如意 ,80.0 ,68.3 ,65.0 ,70.0 ,  -  ,30 ,  -  ,2100
114/01/01,104 台北二,FT5 南瓜 青如意 ,72.1 ,50.0 ,34.0 ,51.2 , -  2,"3,229 ", - 19,165324.8
114/01/01,104 台北二,FT6 南瓜 東昇 ,35.0 ,35.0 ,35.0 ,35.0 ,  -  ,36 ,  -  ,1260
114/01/01,104 台北二,FT7 南瓜 栗子 ,63.4 ,43.3 ,27.5 ,44.2 , - 18,700 , - 18,30940
