蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,113/06/01 ~ 113/06/30 (農曆:113/04/25 ~ 113/05/25),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
113/06/01,104 台北二,FA0 其他花類  ,110.0 ,110.0 ,110.0 ,110.0 ,    0,5 ,    0,550
113/06/01,104 台北二,FA1 黃秋葵  ,89.6 ,43.7 ,20.2 ,48.1 , +  5,"1,886 ", - 28,90716.6
113/06/01,104 台北二,FB1 花椰菜 青梗 ,36.2 ,16.5 ,8.0 ,18.8 , -  9,"4,516 ", + 20,84900.8
113/06/01,104 台北二,FC1 胡瓜 黑刺 ,22.0 ,15.6 ,8.6 ,15.5 , -  3,"9,316 ", + 28,144398
113/06/01,104 台北二,FD0 花胡瓜 其他 ,134.1 ,89.1 ,30.8 ,86.4 , + 41,192 , - 48,16588.8
113/06/01,104 台北二,FD1 花胡瓜  ,83.2 ,59.9 ,29.0 ,58.4 , + 19,"10,096 ", - 27,589606.4
113/06/01,104 台北二,FE1 冬瓜 白皮 ,15.4 ,9.4 ,4.4 ,9.6 , -  4,"4,319 ", + 27,41462.4
113/06/01,104 台北二,FF0 絲瓜 其他 ,28.9 ,20.9 ,11.9 ,20.7 , + 23,"1,974 ", - 18,40861.8
113/06/01,104 台北二,FF1 絲瓜  ,41.0 ,22.8 ,13.0 ,24.5 , +  5,"9,929 ", - 27,243260.5
113/06/01,104 台北二,FF2 絲瓜 角瓜 ,30.0 ,30.0 ,27.0 ,29.4 , - 13,145 , - 16,4263
113/06/01,104 台北二,FF4 絲瓜 長絲瓜 ,25.0 ,25.0 ,18.6 ,23.7 , - 38,115 , +161,2725.5
113/06/01,104 台北二,FG0 苦瓜 其他 ,37.1 ,25.9 ,11.5 ,25.2 ,    0,"1,933 ", - 15,48711.6
113/06/01,104 台北二,FG1 苦瓜 白大米 ,45.0 ,29.7 ,13.4 ,29.5 , + 23,"6,947 ", - 40,204936.5
113/06/01,104 台北二,FG3 苦瓜 山苦瓜 ,55.0 ,40.9 ,28.0 ,41.1 , + 14,49 , - 54,2013.9
113/06/01,104 台北二,FG4 苦瓜 翠綠 ,27.8 ,17.6 ,9.3 ,18.0 , + 20,"1,019 ", -  5,18342
113/06/01,104 台北二,FH3 扁蒲 花蒲 ,16.8 ,9.5 ,4.4 ,9.9 , +  5,"3,294 ", - 27,32610.6
113/06/01,104 台北二,FH4 扁蒲 梨子蒲 ,13.6 ,10.0 ,6.9 ,10.1 , -  9,"5,712 ", -  5,57691.2
113/06/01,104 台北二,FI0 茄子 其他 ,36.4 ,21.4 ,13.3 ,22.8 , + 19,345 , - 22,7866
